year	sexo	estud_gr	edad_gr	min_t	p20_t	p40_t	p60_t	p80_t	max_t
1998	99	3	7	16.0	61.1	67.2	71.6	75.7	100.0
1998	99	3	8	0.0	3.0	8.1	10.3	14.3	36.4
1998	99	3	99	51.6	60.6	64.0	65.9	71.0	77.3
1998	99	99	1	2.9	8.6	10.3	13.5	19.5	27.5
1998	99	99	2	21.7	32.2	35.0	41.1	46.9	55.6
1998	99	99	3	42.5	51.7	57.7	62.4	71.8	78.2
1998	99	99	4	47.4	60.0	64.6	69.2	73.0	82.4
1998	99	99	5	49.3	60.7	66.3	68.6	73.3	79.4
1998	99	99	6	42.6	54.7	58.4	61.5	64.3	74.4
1998	99	99	7	19.3	28.8	35.3	37.3	41.1	50.5
1998	99	99	8	0.4	1.0	1.2	1.6	1.9	6.1
1998	99	99	99	31.2	36.7	40.1	43.0	45.2	52.6
1999	1	1	1	0.0	13.6	18.9	26.7	33.3	55.1
1999	1	1	2	27.1	54.5	60.6	70.8	79.7	100.0
1999	1	1	3	38.0	63.1	70.1	75.3	82.5	100.0
1999	1	1	4	36.6	68.9	74.8	80.5	87.5	100.0
1999	1	1	5	62.2	73.4	80.5	83.4	89.6	95.5
1999	1	1	6	57.1	70.5	78.4	83.7	87.6	94.3
1999	1	1	7	31.6	43.5	48.1	53.5	56.3	75.3
1999	1	1	8	0.0	0.9	1.3	1.7	2.5	6.8
1999	1	1	99	33.3	38.5	41.5	44.6	48.4	52.2
1999	1	2	1	7.2	11.5	15.0	19.2	26.0	39.2
1999	1	2	2	36.3	45.8	48.6	55.3	59.6	68.0
1999	1	2	3	57.2	73.3	79.4	83.4	88.0	95.6
1999	1	2	4	73.4	85.3	88.2	90.3	94.0	95.7
1999	1	2	5	80.8	86.1	90.2	92.4	94.6	98.6
1999	1	2	6	71.8	84.1	87.8	90.6	92.8	98.7
1999	1	2	7	34.0	50.7	57.9	63.1	71.7	80.0
1999	1	2	8	0.0	0.0	3.3	4.5	6.9	23.3
1999	1	2	99	54.2	62.8	67.1	69.8	74.1	79.8
1999	1	3	1	0.0	0.0	0.0	0.0	0.0	100.0
1999	1	3	2	0.0	15.7	20.3	26.9	38.3	71.5
1999	1	3	3	17.9	47.1	54.4	58.7	70.3	83.1
1999	1	3	4	58.6	79.4	85.0	90.1	93.9	100.0
1999	1	3	5	83.8	92.3	95.8	97.4	98.4	100.0
1999	1	3	6	80.9	90.1	92.8	97.2	100.0	100.0
1999	1	3	7	47.1	65.7	72.8	80.2	84.3	100.0
1999	1	3	8	0.0	6.7	11.9	18.4	26.6	61.0
1999	1	3	99	56.4	67.4	72.3	75.6	78.2	83.7
1999	1	99	1	7.3	13.8	16.4	21.0	27.3	40.2
1999	1	99	2	36.8	43.4	48.6	53.9	57.9	69.1
1999	1	99	3	55.1	66.9	72.2	78.0	84.4	90.2
1999	1	99	4	67.8	81.9	84.6	88.4	91.8	96.0
1999	1	99	5	76.6	83.2	87.7	90.3	92.8	97.6
1999	1	99	6	69.2	78.0	82.0	87.2	90.0	95.6
1999	1	99	7	37.6	46.0	51.4	55.5	59.2	72.5
1999	1	99	8	0.7	1.5	2.2	2.9	3.4	12.8
1999	1	99	99	45.2	52.3	56.0	60.2	62.3	67.1
1999	6	1	1	0.0	2.4	9.0	14.5	20.8	62.1
1999	6	1	2	0.0	25.4	32.3	42.0	55.4	100.0
1999	6	1	3	0.0	18.9	31.1	39.6	45.9	79.2
1999	6	1	4	0.0	18.9	25.7	36.7	45.3	64.8
1999	6	1	5	16.0	24.7	32.0	37.8	43.0	59.3
1999	6	1	6	11.8	20.7	24.8	29.6	35.4	59.3
1999	6	1	7	0.0	11.2	13.1	15.7	20.3	44.2
1999	6	1	8	0.0	0.3	0.6	0.9	1.5	2.4
1999	6	1	99	8.7	11.1	12.7	14.7	18.8	26.8
1999	6	2	1	1.3	6.1	8.0	11.4	14.4	26.9
1999	6	2	2	16.1	25.4	30.6	35.1	43.2	59.4
1999	6	2	3	29.7	42.4	47.4	54.6	63.9	80.2
1999	6	2	4	26.1	39.4	44.7	51.4	59.6	72.3
1999	6	2	5	27.6	38.5	44.5	49.2	54.6	70.7
