year	prov_resid	sexo	estud_gr	edad_gr	tocup
1996	4	6	3	6	100.0
1996	4	6	3	7	42.6
1996	4	6	3	8	0.0
1996	4	6	3	99	59.8
1996	4	6	99	1	14.3
1996	4	6	99	2	28.0
1996	4	6	99	3	38.0
1996	4	6	99	4	45.5
1996	4	6	99	5	44.6
1996	4	6	99	6	38.4
1996	4	6	99	7	20.3
1996	4	6	99	8	1.3
1996	4	6	99	99	27.6
1996	4	99	1	1	48.0
1996	4	99	1	2	54.8
1996	4	99	1	3	50.4
1996	4	99	1	4	57.7
1996	4	99	1	5	54.4
1996	4	99	1	6	48.9
1996	4	99	1	7	29.6
1996	4	99	1	8	1.3
1996	4	99	1	99	32.4
1996	4	99	2	1	14.5
1996	4	99	2	2	36.3
1996	4	99	2	3	54.9
1996	4	99	2	4	63.3
1996	4	99	2	5	66.6
1996	4	99	2	6	62.7
1996	4	99	2	7	49.3
1996	4	99	2	8	2.9
1996	4	99	2	99	46.5
1996	4	99	3	2	28.1
1996	4	99	3	3	58.7
1996	4	99	3	4	79.7
1996	4	99	3	5	89.8
1996	4	99	3	6	100.0
1996	4	99	3	7	65.8
1996	4	99	3	8	10.0
1996	4	99	3	99	66.5
1996	4	99	99	1	19.9
1996	4	99	99	2	38.8
1996	4	99	99	3	54.6
1996	4	99	99	4	64.0
1996	4	99	99	5	62.1
1996	4	99	99	6	56.0
1996	4	99	99	7	34.3
1996	4	99	99	8	1.7
1996	4	99	99	99	40.9
1996	5	1	1	1	53.1
1996	5	1	1	2	80.7
1996	5	1	1	3	94.6
1996	5	1	1	4	82.4
1996	5	1	1	5	74.0
1996	5	1	1	6	84.9
1996	5	1	1	7	52.3
1996	5	1	1	8	1.1
1996	5	1	1	99	41.2
1996	5	1	2	1	11.1
1996	5	1	2	2	48.0
1996	5	1	2	3	76.7
1996	5	1	2	4	93.5
1996	5	1	2	5	84.6
1996	5	1	2	6	95.8
1996	5	1	2	7	56.1
1996	5	1	2	8	12.0
1996	5	1	2	99	63.4
1996	5	1	3	2	9.6
1996	5	1	3	3	43.3
1996	5	1	3	4	93.8
1996	5	1	3	5	95.9
1996	5	1	3	6	100.0
1996	5	1	3	7	81.6
1996	5	1	3	8	33.1
1996	5	1	3	99	68.0
1996	5	1	99	1	15.2
1996	5	1	99	2	42.8
1996	5	1	99	3	73.0
1996	5	1	99	4	90.0
1996	5	1	99	5	80.9
1996	5	1	99	6	87.7
1996	5	1	99	7	53.4
1996	5	1	99	8	1.9
1996	5	1	99	99	50.3
1996	5	6	1	1	28.8
1996	5	6	1	2	24.7
1996	5	6	1	3	49.2
1996	5	6	1	4	21.6
1996	5	6	1	5	25.5
1996	5	6	1	6	21.5
1996	5	6	1	7	11.6
1996	5	6	1	8	1.1
1996	5	6	1	99	10.8
1996	5	6	2	1	5.1
1996	5	6	2	2	25.1
1996	5	6	2	3	43.8
1996	5	6	2	4	36.1
1996	5	6	2	5	39.3
1996	5	6	2	6	36.2
1996	5	6	2	7	28.4
1996	5	6	2	8	0.0
1996	5	6	2	99	28.1
1996	5	6	3	1	0.0
1996	5	6	3	2	8.2
1996	5	6	3	3	44.3
1996	5	6	3	4	58.2
1996	5	6	3	5	75.7
1996	5	6	3	6	73.7
1996	5	6	3	7	73.4
1996	5	6	3	8	0.0
1996	5	6	3	99	51.1
1996	5	6	99	1	6.1
1996	5	6	99	2	22.6
1996	5	6	99	3	45.0
1996	5	6	99	4	37.5
1996	5	6	99	5	38.1
1996	5	6	99	6	26.4
1996	5	6	99	7	14.2
1996	5	6	99	8	1.0
1996	5	6	99	99	19.1
1996	5	99	1	1	44.5
1996	5	99	1	2	38.9
1996	5	99	1	3	63.4
1996	5	99	1	4	54.7
1996	5	99	1	5	52.7
1996	5	99	1	6	58.8
1996	5	99	1	7	28.9
1996	5	99	1	8	1.1
1996	5	99	1	99	25.6
1996	5	99	2	1	7.6
1996	5	99	2	2	37.5
1996	5	99	2	3	61.5
1996	5	99	2	4	66.9
1996	5	99	2	5	61.1
1996	5	99	2	6	72.8
1996	5	99	2	7	52.6
1996	5	99	2	8	9.5
1996	5	99	2	99	46.4
1996	5	99	3	1	0.0
1996	5	99	3	2	9.0
1996	5	99	3	3	43.9
1996	5	99	3	4	69.0
1996	5	99	3	5	86.8
1996	5	99	3	6	90.5
1996	5	99	3	7	76.6
1996	5	99	3	8	13.1
1996	5	99	3	99	59.1
1996	5	99	99	1	10.1
1996	5	99	99	2	33.2
1996	5	99	99	3	58.5
1996	5	99	99	4	63.7
1996	5	99	99	5	60.7
1996	5	99	99	6	62.9
1996	5	99	99	7	31.3
1996	5	99	99	8	1.4
1996	5	99	99	99	34.6
1996	6	1	1	1	26.3
1996	6	1	1	2	52.1
1996	6	1	1	3	51.0
1996	6	1	1	4	55.1
1996	6	1	1	5	66.1
1996	6	1	1	6	66.8
1996	6	1	1	7	40.1
1996	6	1	1	8	1.6
1996	6	1	1	99	39.7
1996	6	1	2	1	13.2
1996	6	1	2	2	45.1
1996	6	1	2	3	65.5
1996	6	1	2	4	77.4
1996	6	1	2	5	78.7
1996	6	1	2	6	87.2
1996	6	1	2	7	62.4
1996	6	1	2	8	2.3
1996	6	1	2	99	55.8
1996	6	1	3	1	100.0
1996	6	1	3	2	12.9
1996	6	1	3	3	61.9
1996	6	1	3	4	94.7
1996	6	1	3	5	100.0
1996	6	1	3	6	93.6
1996	6	1	3	7	70.1
1996	6	1	3	8	14.6
1996	6	1	3	99	72.1
1996	6	1	99	1	15.5
1996	6	1	99	2	43.8
1996	6	1	99	3	61.3
1996	6	1	99	4	71.2
1996	6	1	99	5	73.4
1996	6	1	99	6	71.7
1996	6	1	99	7	43.1
1996	6	1	99	8	2.0
1996	6	1	99	99	47.6
1996	6	6	1	1	11.9
1996	6	6	1	2	30.4
1996	6	6	1	3	31.7
1996	6	6	1	4	14.1
1996	6	6	1	5	18.3
1996	6	6	1	6	12.0
1996	6	6	1	7	4.2
1996	6	6	1	8	0.3
1996	6	6	1	99	8.2
1996	6	6	2	1	12.3
1996	6	6	2	2	29.4
1996	6	6	2	3	28.7
1996	6	6	2	4	35.8
1996	6	6	2	5	43.3
1996	6	6	2	6	42.5
1996	6	6	2	7	12.9
1996	6	6	2	8	0.0
1996	6	6	2	99	28.7
1996	6	6	3	2	18.4
1996	6	6	3	3	51.2
1996	6	6	3	4	60.8
1996	6	6	3	5	72.9
1996	6	6	3	6	84.4
1996	6	6	3	7	67.0
