year	prov_resid	sexo	estud_gr	edad_gr	tparo
1996	5	1	99	99	13.0
1996	5	6	1	1	48.9
1996	5	6	1	2	64.7
1996	5	6	1	3	20.3
1996	5	6	1	4	65.4
1996	5	6	1	5	28.4
1996	5	6	1	6	29.6
1996	5	6	1	7	17.0
1996	5	6	1	8	0.0
1996	5	6	1	99	32.9
1996	5	6	2	1	71.8
1996	5	6	2	2	49.8
1996	5	6	2	3	26.3
1996	5	6	2	4	29.1
1996	5	6	2	5	10.8
1996	5	6	2	6	23.5
1996	5	6	2	7	0.0
1996	5	6	2	8	0.0
1996	5	6	2	99	33.4
1996	5	6	3	1	0.0
1996	5	6	3	2	75.2
1996	5	6	3	3	38.7
1996	5	6	3	4	30.9
1996	5	6	3	5	7.2
1996	5	6	3	6	0.0
1996	5	6	3	7	0.0
1996	5	6	3	8	0.0
1996	5	6	3	99	24.7
1996	5	6	99	1	69.1
1996	5	6	99	2	54.7
1996	5	6	99	3	28.0
1996	5	6	99	4	39.4
1996	5	6	99	5	16.0
1996	5	6	99	6	25.2
1996	5	6	99	7	13.8
1996	5	6	99	8	0.0
1996	5	6	99	99	31.5
1996	5	99	1	1	21.4
1996	5	99	1	2	49.8
1996	5	99	1	3	14.0
1996	5	99	1	4	31.1
1996	5	99	1	5	23.7
1996	5	99	1	6	11.8
1996	5	99	1	7	12.0
1996	5	99	1	8	0.0
1996	5	99	1	99	17.7
1996	5	99	2	1	57.1
1996	5	99	2	2	37.8
1996	5	99	2	3	18.2
1996	5	99	2	4	11.0
1996	5	99	2	5	12.7
1996	5	99	2	6	8.6
1996	5	99	2	7	0.0
1996	5	99	2	8	0.0
1996	5	99	2	99	20.7
1996	5	99	3	1	0.0
1996	5	99	3	2	64.7
1996	5	99	3	3	41.9
1996	5	99	3	4	22.5
1996	5	99	3	5	5.3
1996	5	99	3	6	0.0
1996	5	99	3	7	0.0
1996	5	99	3	8	0.0
1996	5	99	3	99	18.6
1996	5	99	99	1	50.5
1996	5	99	99	2	40.9
1996	5	99	99	3	22.0
1996	5	99	99	4	19.1
1996	5	99	99	5	16.3
1996	5	99	99	6	10.3
1996	5	99	99	7	10.5
1996	5	99	99	8	0.0
1996	5	99	99	99	19.1
1996	6	1	1	1	54.0
1996	6	1	1	2	42.1
1996	6	1	1	3	44.4
1996	6	1	1	4	39.9
1996	6	1	1	5	26.9
1996	6	1	1	6	22.6
1996	6	1	1	7	24.1
1996	6	1	1	8	0.0
1996	6	1	1	99	29.2
1996	6	1	2	1	51.2
1996	6	1	2	2	32.9
1996	6	1	2	3	29.3
1996	6	1	2	4	20.7
1996	6	1	2	5	16.8
1996	6	1	2	6	8.0
1996	6	1	2	7	20.4
1996	6	1	2	8	71.5
1996	6	1	2	99	25.3
1996	6	1	3	1	0.0
1996	6	1	3	2	65.9
1996	6	1	3	3	29.1
1996	6	1	3	4	4.6
1996	6	1	3	5	0.0
1996	6	1	3	6	4.9
1996	6	1	3	7	6.8
1996	6	1	3	8	0.0
1996	6	1	3	99	11.6
1996	6	1	99	1	51.6
1996	6	1	99	2	37.2
1996	6	1	99	3	33.2
1996	6	1	99	4	25.5
1996	6	1	99	5	20.8
1996	6	1	99	6	18.9
1996	6	1	99	7	22.5
1996	6	1	99	8	7.4
1996	6	1	99	99	26.1
1996	6	6	1	1	51.9
1996	6	6	1	2	42.6
1996	6	6	1	3	49.7
1996	6	6	1	4	56.9
1996	6	6	1	5	47.9
1996	6	6	1	6	54.0
1996	6	6	1	7	36.6
1996	6	6	1	8	26.9
1996	6	6	1	99	49.3
1996	6	6	2	1	53.4
1996	6	6	2	2	49.7
1996	6	6	2	3	58.2
1996	6	6	2	4	40.5
1996	6	6	2	5	29.4
1996	6	6	2	6	37.8
1996	6	6	2	7	0.0
1996	6	6	2	8	100.0
1996	6	6	2	99	45.8
1996	6	6	3	2	61.8
1996	6	6	3	3	45.3
1996	6	6	3	4	29.1
1996	6	6	3	5	16.9
1996	6	6	3	6	4.6
1996	6	6	3	7	0.0
1996	6	6	3	8	0.0
1996	6	6	3	99	28.6
1996	6	6	99	1	53.3
1996	6	6	99	2	50.2
1996	6	6	99	3	53.7
1996	6	6	99	4	41.1
1996	6	6	99	5	34.7
1996	6	6	99	6	42.6
1996	6	6	99	7	26.4
1996	6	6	99	8	28.8
1996	6	6	99	99	44.0
1996	6	99	1	1	53.6
1996	6	99	1	2	42.2
1996	6	99	1	3	46.3
1996	6	99	1	4	43.9
1996	6	99	1	5	32.5
1996	6	99	1	6	30.1
1996	6	99	1	7	25.6
1996	6	99	1	8	7.2
1996	6	99	1	99	34.0
1996	6	99	2	1	52.3
1996	6	99	2	2	41.4
1996	6	99	2	3	40.7
1996	6	99	2	4	28.5
1996	6	99	2	5	21.1
1996	6	99	2	6	18.6
1996	6	99	2	7	19.0
1996	6	99	2	8	79.2
1996	6	99	2	99	33.7
1996	6	99	3	1	0.0
1996	6	99	3	2	63.3
1996	6	99	3	3	38.6
1996	6	99	3	4	16.8
1996	6	99	3	5	8.8
1996	6	99	3	6	4.8
1996	6	99	3	7	4.4
1996	6	99	3	8	0.0
1996	6	99	3	99	20.1
1996	6	99	99	1	52.4
1996	6	99	99	2	43.1
1996	6	99	99	3	41.7
1996	6	99	99	4	31.2
1996	6	99	99	5	25.4
1996	6	99	99	6	25.3
1996	6	99	99	7	23.1
1996	6	99	99	8	13.2
1996	6	99	99	99	32.3
1996	7	1	1	1	11.1
1996	7	1	1	2	21.3
1996	7	1	1	3	13.6
1996	7	1	1	4	16.3
1996	7	1	1	5	8.6
1996	7	1	1	6	6.1
1996	7	1	1	7	9.8
1996	7	1	1	8	12.6
1996	7	1	1	99	9.0
1996	7	1	2	1	32.8
1996	7	1	2	2	15.9
1996	7	1	2	3	10.6
1996	7	1	2	4	5.5
1996	7	1	2	5	8.6
1996	7	1	2	6	7.7
1996	7	1	2	7	1.3
1996	7	1	2	8	0.0
1996	7	1	2	99	10.7
1996	7	1	3	2	12.8
1996	7	1	3	3	6.2
1996	7	1	3	4	7.3
1996	7	1	3	5	3.7
1996	7	1	3	6	5.9
1996	7	1	3	7	0.0
1996	7	1	3	8	0.0
1996	7	1	3	99	5.0
1996	7	1	99	1	30.4
1996	7	1	99	2	16.2
1996	7	1	99	3	10.4
1996	7	1	99	4	7.3
1996	7	1	99	5	8.1
1996	7	1	99	6	6.6
1996	7	1	99	7	6.7
1996	7	1	99	8	6.6
1996	7	1	99	99	9.6
1996	7	6	1	1	32.2
1996	7	6	1	2	29.8
1996	7	6	1	3	10.8
1996	7	6	1	4	23.7
1996	7	6	1	5	25.6
1996	7	6	1	6	11.5
1996	7	6	1	7	7.6
1996	7	6	1	8	0.0
1996	7	6	1	99	17.6
1996	7	6	2	1	46.2
1996	7	6	2	2	23.8
1996	7	6	2	3	21.7
1996	7	6	2	4	23.1
1996	7	6	2	5	12.2
1996	7	6	2	6	13.4
1996	7	6	2	7	3.4
1996	7	6	2	8	0.0
1996	7	6	2	99	20.8
1996	7	6	3	1	100.0
1996	7	6	3	2	25.5
1996	7	6	3	3	12.3
1996	7	6	3	4	9.2
1996	7	6	3	5	6.9
1996	7	6	3	6	11.7
1996	7	6	3	7	0.0
1996	7	6	3	8	0.0
1996	7	6	3	99	12.1
1996	7	6	99	1	45.2
1996	7	6	99	2	24.2
1996	7	6	99	3	19.3
1996	7	6	99	4	21.1
1996	7	6	99	5	16.5
1996	7	6	99	6	12.1
1996	7	6	99	7	6.2
1996	7	6	99	8	0.0
1996	7	6	99	99	18.8
1996	7	99	1	1	20.4
1996	7	99	1	2	23.6
1996	7	99	1	3	12.4
1996	7	99	1	4	19.8
1996	7	99	1	5	16.4
1996	7	99	1	6	7.9
1996	7	99	1	7	9.1
1996	7	99	1	8	5.2
1996	7	99	1	99	12.3
1996	7	99	2	1	39.1
1996	7	99	2	2	19.5
1996	7	99	2	3	15.4
1996	7	99	2	4	12.9
1996	7	99	2	5	10.0
1996	7	99	2	6	9.7
1996	7	99	2	7	2.1
1996	7	99	2	8	0.0
1996	7	99	2	99	14.9
1996	7	99	3	1	100.0
1996	7	99	3	2	23.0
1996	7	99	3	3	10.1
1996	7	99	3	4	8.3
1996	7	99	3	5	5.2
1996	7	99	3	6	7.9
1996	7	99	3	7	0.0
1996	7	99	3	8	0.0
1996	7	99	3	99	8.4
1996	7	99	99	1	37.3
1996	7	99	99	2	19.9
1996	7	99	99	3	14.5
1996	7	99	99	4	13.3
1996	7	99	99	5	11.6
1996	7	99	99	6	8.4
1996	7	99	99	7	6.6
1996	7	99	99	8	3.2
1996	7	99	99	99	13.4
1996	8	1	1	1	29.3
1996	8	1	1	2	29.2
1996	8	1	1	3	34.8
1996	8	1	1	4	19.0
1996	8	1	1	5	13.5
1996	8	1	1	6	16.8
1996	8	1	1	7	14.0
1996	8	1	1	8	0.0
1996	8	1	1	99	17.0
1996	8	1	2	1	52.2
1996	8	1	2	2	33.6
1996	8	1	2	3	19.7
1996	8	1	2	4	13.4
1996	8	1	2	5	10.1
1996	8	1	2	6	9.9
1996	8	1	2	7	12.0
1996	8	1	2	8	0.0
1996	8	1	2	99	18.8
1996	8	1	3	1	0.0
1996	8	1	3	2	36.0
1996	8	1	3	3	16.7
1996	8	1	3	4	10.1
1996	8	1	3	5	4.5
1996	8	1	3	6	1.5
1996	8	1	3	7	7.8
1996	8	1	3	8	0.0
1996	8	1	3	99	8.2
1996	8	1	99	1	49.5
1996	8	1	99	2	33.2
1996	8	1	99	3	21.0
1996	8	1	99	4	13.6
1996	8	1	99	5	10.3
1996	8	1	99	6	12.4
1996	8	1	99	7	12.6
1996	8	1	99	8	0.0
1996	8	1	99	99	16.7
1996	8	6	1	1	66.7
1996	8	6	1	2	32.2
1996	8	6	1	3	56.2
1996	8	6	1	4	38.1
1996	8	6	1	5	25.2
1996	8	6	1	6	19.6
1996	8	6	1	7	12.8
1996	8	6	1	8	0.0
1996	8	6	1	99	24.7
1996	8	6	2	1	62.5
1996	8	6	2	2	35.6
1996	8	6	2	3	28.0
1996	8	6	2	4	24.7
1996	8	6	2	5	24.6
1996	8	6	2	6	21.2
1996	8	6	2	7	17.1
1996	8	6	2	8	0.0
1996	8	6	2	99	29.5
1996	8	6	3	1	46.9
1996	8	6	3	2	46.3
1996	8	6	3	3	19.0
1996	8	6	3	4	11.7
1996	8	6	3	5	12.0
1996	8	6	3	6	7.3
1996	8	6	3	7	19.1
1996	8	6	3	8	0.0
1996	8	6	3	99	17.7
1996	8	6	99	1	63.0
1996	8	6	99	2	37.1
1996	8	6	99	3	27.2
1996	8	6	99	4	22.6
1996	8	6	99	5	22.2
1996	8	6	99	6	18.5
1996	8	6	99	7	14.8
1996	8	6	99	8	0.0
1996	8	6	99	99	26.0
1996	8	99	1	1	50.3
1996	8	99	1	2	30.2
1996	8	99	1	3	41.6
1996	8	99	1	4	25.3
1996	8	99	1	5	18.2
1996	8	99	1	6	17.7
1996	8	99	1	7	13.6
1996	8	99	1	8	0.0
1996	8	99	1	99	19.7
1996	8	99	2	1	57.0
1996	8	99	2	2	34.6
1996	8	99	2	3	23.3
1996	8	99	2	4	18.0
1996	8	99	2	5	16.0
1996	8	99	2	6	13.8
1996	8	99	2	7	13.4
1996	8	99	2	8	0.0
1996	8	99	2	99	23.3
1996	8	99	3	1	38.6
1996	8	99	3	2	43.9
1996	8	99	3	3	18.1
1996	8	99	3	4	10.9
1996	8	99	3	5	7.9
1996	8	99	3	6	3.5
1996	8	99	3	7	11.1
1996	8	99	3	8	0.0
1996	8	99	3	99	12.9
1996	8	99	99	1	55.9
1996	8	99	99	2	35.1
1996	8	99	99	3	23.8
1996	8	99	99	4	17.4
1996	8	99	99	5	15.2
1996	8	99	99	6	14.5
1996	8	99	99	7	13.3
1996	8	99	99	8	0.0
1996	8	99	99	99	20.6
1996	9	1	1	1	31.4
1996	9	1	1	2	14.6
1996	9	1	1	3	45.0
1996	9	1	1	4	37.9
1996	9	1	1	5	7.1
1996	9	1	1	6	5.5
1996	9	1	1	7	4.7
1996	9	1	1	8	0.0
1996	9	1	1	99	8.4
1996	9	1	2	1	20.4
1996	9	1	2	2	23.1
1996	9	1	2	3	15.3
1996	9	1	2	4	9.1
1996	9	1	2	5	2.0
1996	9	1	2	6	6.9
1996	9	1	2	7	5.4
1996	9	1	2	8	0.0
1996	9	1	2	99	10.1
1996	9	1	3	2	75.7
1996	9	1	3	3	32.1
1996	9	1	3	4	8.2
1996	9	1	3	5	0.0
1996	9	1	3	6	0.0
1996	9	1	3	7	0.0
1996	9	1	3	8	0.0
1996	9	1	3	99	9.3
1996	9	1	99	1	21.8
1996	9	1	99	2	25.3
1996	9	1	99	3	21.4
1996	9	1	99	4	11.8
1996	9	1	99	5	3.4
1996	9	1	99	6	5.3
1996	9	1	99	7	4.6
1996	9	1	99	8	0.0
1996	9	1	99	99	9.4
1996	9	6	1	1	100.0
1996	9	6	1	2	40.2
1996	9	6	1	3	50.4
1996	9	6	1	4	60.0
1996	9	6	1	5	28.1
1996	9	6	1	6	14.4
1996	9	6	1	7	4.3
1996	9	6	1	8	0.0
1996	9	6	1	99	20.8
1996	9	6	2	1	80.2
1996	9	6	2	2	40.0
1996	9	6	2	3	35.5
1996	9	6	2	4	39.3
1996	9	6	2	5	27.8
1996	9	6	2	6	3.2
1996	9	6	2	7	0.0
1996	9	6	2	8	0.0
1996	9	6	2	99	33.3
1996	9	6	3	1	0.0
1996	9	6	3	2	48.6
1996	9	6	3	3	36.2
1996	9	6	3	4	20.9
1996	9	6	3	5	36.5
1996	9	6	3	6	0.0
1996	9	6	3	7	0.0
1996	9	6	3	8	0.0
1996	9	6	3	99	28.7
1996	9	6	99	1	82.0
1996	9	6	99	2	40.9
1996	9	6	99	3	36.2
1996	9	6	99	4	36.3
1996	9	6	99	5	29.4
1996	9	6	99	6	8.5
1996	9	6	99	7	3.5
1996	9	6	99	8	0.0
1996	9	6	99	99	29.4
